,※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217
0,,,2020년01월,,,,,,2020년02월,,,,,,2020년03월,,,,,,2020년04월,,,,,,2020년05월,,,,,,2020년06월,,,,,,2020년07월,,,,,,2020년08월,,,,,,2020년09월,,,,,,2020년10월,,,,,,2020년11월,,,,,,2020년12월,,,,,,2021년01월,,,,,,2021년02월,,,,,,2021년03월,,,,,,2021년04월,,,,,,2021년05월,,,,,,2021년06월,,,,,,2021년07월,,,,,,2021년08월,,,,,,2021년09월,,,,,,2021년10월,,,,,,2021년11월,,,,,,2021년12월,,,,,,2022년01월,,,,,,2022년02월,,,,,,2022년03월,,,,,,2022년04월,,,,,,2022년05월,,,,,,2022년06월,,,,,,2022년07월,,,,,,2022년08월,,,,,,2022년09월,,,,,,2022년10월,,,,,,2022년11월,,,,,,2022년12월,,,,,
1,행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
2,1000000000,전국  ,"51,847,509","22,513,039",          2.30,"25,862,863","25,984,646",          1.00,"51,844,627","22,561,161",          2.30,"25,860,491","25,984,136",          1.00,"51,843,195","22,613,882",          2.29,"25,858,743","25,984,452",          1.00,"51,842,524","22,663,240",          2.29,"25,857,509","25,985,015",          1.00,"51,841,371","22,732,288",          2.28,"25,856,030","25,985,341",          1.00,"51,839,408","22,791,531",          2.27,"25,853,937","25,985,471",          0.99,"51,839,852","22,842,044",          2.27,"25,852,796","25,987,056",          0.99,"51,839,953","22,898,959",          2.26,"25,851,388","25,988,565",          0.99,"51,841,786","22,952,513",          2.26,"25,851,003","25,990,783",          0.99,"51,838,016","22,991,110",          2.25,"25,847,719","25,990,297",          0.99,"51,834,302","23,037,033",          2.25,"25,844,667","25,989,635",          0.99,"51,829,023","23,093,108",          2.24,"25,841,029","25,987,994",          0.99,"51,825,932","23,137,172",          2.24,"25,838,512","25,987,420",          0.99,"51,824,142","23,194,982",          2.23,"25,836,561","25,987,581",          0.99,"51,705,905","23,157,385",          2.23,"25,787,390","25,918,515",          0.99,"51,702,100","23,198,657",          2.23,"25,784,538","25,917,562",          0.99,"51,683,025","23,225,281",          2.23,"25,775,853","25,907,172",          0.99,"51,672,400","23,256,332",          2.22,"25,770,033","25,902,367",          0.99,"51,671,569","23,294,707",          2.22,"25,768,310","25,903,259",          0.99,"51,669,716","23,336,989",          2.21,"25,766,031","25,903,685",          0.99,"51,667,688","23,383,689",          2.21,"25,763,891","25,903,797",          0.99,"51,662,290","23,415,533",          2.21,"25,760,238","25,902,052",          0.99,"51,652,704","23,444,608",          2.20,"25,754,446","25,898,258",          0.99,"51,638,809","23,472,895",          2.20,"25,746,684","25,892,125",          0.99,"51,632,473","23,498,025",          2.20,"25,742,528","25,889,945",          0.99,"51,625,561","23,546,053",          2.19,"25,738,197","25,887,364",          0.99,"51,610,695","23,590,069",          2.19,"25,730,584","25,880,111",          0.99,"51,592,660","23,617,091",          2.18,"25,721,053","25,871,607",          0.99,"51,583,722","23,650,555",          2.18,"25,715,591","25,868,131",          0.99,"51,578,178","23,675,578",          2.18,"25,711,784","25,866,394",          0.99,"51,574,446","23,699,750",          2.18,"25,708,650","25,865,796",          0.99,"51,558,441","23,724,829",          2.17,"25,699,579","25,858,862",          0.99,"51,466,658","23,682,288",          2.17,"25,653,998","25,812,660",          0.99,"51,459,626","23,697,051",          2.17,"25,649,509","25,810,117",          0.99,"51,450,829","23,699,243",          2.17,"25,643,889","25,806,940",          0.99,"51,439,038","23,705,814",          2.17,"25,636,951","25,802,087",          0.99
3,1100000000,서울특별시  ,"9,733,509","4,334,918",          2.25,"4,745,088","4,988,421",          0.95,"9,736,962","4,345,877",          2.24,"4,745,133","4,991,829",          0.95,"9,733,655","4,354,006",          2.24,"4,742,217","4,991,438",          0.95,"9,726,787","4,361,645",          2.23,"4,737,843","4,988,944",          0.95,"9,724,496","4,373,610",          2.22,"4,735,431","4,989,065",          0.95,"9,720,846","4,384,076",          2.22,"4,732,275","4,988,571",          0.95,"9,715,429","4,391,545",          2.21,"4,728,872","4,986,557",          0.95,"9,708,247","4,400,154",          2.21,"4,724,585","4,983,662",          0.95,"9,699,232","4,405,833",          2.20,"4,719,170","4,980,062",          0.95,"9,689,159","4,408,498",          2.20,"4,713,716","4,975,443",          0.95,"9,679,771","4,412,343",          2.19,"4,708,321","4,971,450",          0.95,"9,668,465","4,417,954",          2.19,"4,701,723","4,966,742",          0.95,"9,657,969","4,421,022",          2.18,"4,695,999","4,961,970",          0.95,"9,648,606","4,427,814",          2.18,"4,690,282","4,958,324",          0.95,"9,598,484","4,400,403",          2.18,"4,667,524","4,930,960",          0.95,"9,588,711","4,403,263",          2.18,"4,661,711","4,927,000",          0.95,"9,575,355","4,403,381",          2.17,"4,654,720","4,920,635",          0.95,"9,565,990","4,405,638",          2.17,"4,649,442","4,916,548",          0.95,"9,558,153","4,409,964",          2.17,"4,645,177","4,912,976",          0.95,"9,550,227","4,416,816",          2.16,"4,640,740","4,909,487",          0.95,"9,542,256","4,421,143",          2.16,"4,636,069","4,906,187",          0.94,"9,532,428","4,422,587",          2.16,"4,630,630","4,901,798",          0.94,"9,520,880","4,424,222",          2.15,"4,624,290","4,896,590",          0.94,"9,509,458","4,426,007",          2.15,"4,618,040","4,891,418",          0.94,"9,505,926","4,430,541",          2.15,"4,615,631","4,890,295",          0.94,"9,508,451","4,442,586",          2.14,"4,615,823","4,892,628",          0.94,"9,506,778","4,451,444",          2.14,"4,613,910","4,892,868",          0.94,"9,500,480","4,455,106",          2.13,"4,610,082","4,890,398",          0.94,"9,496,887","4,460,604",          2.13,"4,607,440","4,889,447",          0.94,"9,494,807","4,464,840",          2.13,"4,605,655","4,889,152",          0.94,"9,493,211","4,469,392",          2.12,"4,604,405","4,888,806",          0.94,"9,488,454","4,472,975",          2.12,"4,601,295","4,887,159",          0.94,"9,450,768","4,450,525",          2.12,"4,582,361","4,868,407",          0.94,"9,443,722","4,450,389",          2.12,"4,578,459","4,865,263",          0.94,"9,436,836","4,448,660",          2.12,"4,574,781","4,862,055",          0.94,"9,428,372","4,446,296",          2.12,"4,570,048","4,858,324",          0.94
4,2600000000,부산광역시  ,"3,411,819","1,499,152",          2.28,"1,674,202","1,737,617",          0.96,"3,410,925","1,502,333",          2.27,"1,673,266","1,737,659",          0.96,"3,409,932","1,505,897",          2.26,"1,672,252","1,737,680",          0.96,"3,408,347","1,507,504",          2.26,"1,671,199","1,737,148",          0.96,"3,406,942","1,511,199",          2.25,"1,670,175","1,736,767",          0.96,"3,404,423","1,513,956",          2.25,"1,668,618","1,735,805",          0.96,"3,402,776","1,517,200",          2.24,"1,667,613","1,735,163",          0.96,"3,401,072","1,520,321",          2.24,"1,666,462","1,734,610",          0.96,"3,399,749","1,523,122",          2.23,"1,665,554","1,734,195",          0.96,"3,397,598","1,524,888",          2.23,"1,664,277","1,733,321",          0.96,"3,395,514","1,527,721",          2.22,"1,663,055","1,732,459",          0.96,"3,391,946","1,530,431",          2.22,"1,661,000","1,730,946",          0.96,"3,389,388","1,532,700",          2.21,"1,659,527","1,729,861",          0.96,"3,387,761","1,536,242",          2.21,"1,658,540","1,729,221",          0.96,"3,372,399","1,527,830",          2.21,"1,651,804","1,720,595",          0.96,"3,369,704","1,529,794",          2.20,"1,650,252","1,719,452",          0.96,"3,367,334","1,532,053",          2.20,"1,648,965","1,718,369",          0.96,"3,364,358","1,533,514",          2.19,"1,647,291","1,717,067",          0.96,"3,361,781","1,535,294",          2.19,"1,645,794","1,715,987",          0.96,"3,359,527","1,537,395",          2.19,"1,644,378","1,715,149",          0.96,"3,358,763","1,540,342",          2.18,"1,643,690","1,715,073",          0.96,"3,356,311","1,541,975",          2.18,"1,642,368","1,713,943",          0.96,"3,353,627","1,543,438",          2.17,"1,640,867","1,712,760",          0.96,"3,350,380","1,544,663",          2.17,"1,639,044","1,711,336",          0.96,"3,348,874","1,546,414",          2.17,"1,638,207","1,710,667",          0.96,"3,347,396","1,549,967",          2.16,"1,637,111","1,710,285",          0.96,"3,343,504","1,551,767",          2.15,"1,634,958","1,708,546",          0.96,"3,340,214","1,553,032",          2.15,"1,633,170","1,707,044",          0.96,"3,338,167","1,555,326",          2.15,"1,631,825","1,706,342",          0.96,"3,336,737","1,556,938",          2.14,"1,630,944","1,705,793",          0.96,"3,334,595","1,558,052",          2.14,"1,629,643","1,704,952",          0.96,"3,331,444","1,559,462",          2.14,"1,627,821","1,703,623",          0.96,"3,323,826","1,555,449",          2.14,"1,623,784","1,700,042",          0.96,"3,322,286","1,556,293",          2.13,"1,622,749","1,699,537",          0.95,"3,320,276","1,555,836",          2.13,"1,621,486","1,698,790",          0.95,"3,317,812","1,555,867",          2.13,"1,619,915","1,697,897",          0.95
5,2700000000,대구광역시  ,"2,436,488","1,032,478",          2.36,"1,204,387","1,232,101",          0.98,"2,432,883","1,033,349",          2.35,"1,202,364","1,230,519",          0.98,"2,433,568","1,037,956",          2.34,"1,202,273","1,231,295",          0.98,"2,431,523","1,041,932",          2.33,"1,200,899","1,230,624",          0.98,"2,429,059","1,044,412",          2.33,"1,199,504","1,229,555",          0.98,"2,427,954","1,046,585",          2.32,"1,198,815","1,229,139",          0.98,"2,428,022","1,048,735",          2.32,"1,198,621","1,229,401",          0.97,"2,428,228","1,050,852",          2.31,"1,198,662","1,229,566",          0.97,"2,426,849","1,052,646",          2.31,"1,197,914","1,228,935",          0.97,"2,424,171","1,053,168",          2.30,"1,196,446","1,227,725",          0.97,"2,421,859","1,054,637",          2.30,"1,195,081","1,226,778",          0.97,"2,418,346","1,056,627",          2.29,"1,193,109","1,225,237",          0.97,"2,415,813","1,058,117",          2.28,"1,191,656","1,224,157",          0.97,"2,413,191","1,059,963",          2.28,"1,190,244","1,222,947",          0.97,"2,408,875","1,060,866",          2.27,"1,188,070","1,220,805",          0.97,"2,406,296","1,061,829",          2.27,"1,186,663","1,219,633",          0.97,"2,402,940","1,061,872",          2.26,"1,184,977","1,217,963",          0.97,"2,397,646","1,059,826",          2.26,"1,182,380","1,215,266",          0.97,"2,395,749","1,060,394",          2.26,"1,181,351","1,214,398",          0.97,"2,393,626","1,061,159",          2.26,"1,180,223","1,213,403",          0.97,"2,392,787","1,062,536",          2.25,"1,179,640","1,213,147",          0.97,"2,390,721","1,062,993",          2.25,"1,178,486","1,212,235",          0.97,"2,388,230","1,063,241",          2.25,"1,177,136","1,211,094",          0.97,"2,385,412","1,063,893",          2.24,"1,175,632","1,209,780",          0.97,"2,383,858","1,064,438",          2.24,"1,174,667","1,209,191",          0.97,"2,381,095","1,065,477",          2.23,"1,173,039","1,208,056",          0.97,"2,380,494","1,068,557",          2.23,"1,172,632","1,207,862",          0.97,"2,378,573","1,069,411",          2.22,"1,171,451","1,207,122",          0.97,"2,376,676","1,070,212",          2.22,"1,170,309","1,206,367",          0.97,"2,375,306","1,070,705",          2.22,"1,169,571","1,205,735",          0.97,"2,374,120","1,071,366",          2.22,"1,168,845","1,205,275",          0.97,"2,371,936","1,072,018",          2.21,"1,167,564","1,204,372",          0.97,"2,367,735","1,070,482",          2.21,"1,165,326","1,202,409",          0.97,"2,366,852","1,070,874",          2.21,"1,164,728","1,202,124",          0.97,"2,365,619","1,070,839",          2.21,"1,164,024","1,201,595",          0.97,"2,363,691","1,070,873",          2.21,"1,162,865","1,200,826",          0.97
6,2800000000,인천광역시  ,"2,956,119","1,239,915",          2.38,"1,481,749","1,474,370",          1.01,"2,954,955","1,242,107",          2.38,"1,481,133","1,473,822",          1.00,"2,952,689","1,243,983",          2.37,"1,479,839","1,472,850",          1.00,"2,950,972","1,246,255",          2.37,"1,478,916","1,472,056",          1.00,"2,950,063","1,249,739",          2.36,"1,478,307","1,471,756",          1.00,"2,947,217","1,251,818",          2.35,"1,476,813","1,470,404",          1.00,"2,945,565","1,253,957",          2.35,"1,475,837","1,469,728",          1.00,"2,943,491","1,256,383",          2.34,"1,474,620","1,468,871",          1.00,"2,942,553","1,259,167",          2.34,"1,474,105","1,468,448",          1.00,"2,942,233","1,261,590",          2.33,"1,473,834","1,468,399",          1.00,"2,942,307","1,264,300",          2.33,"1,473,795","1,468,512",          1.00,"2,942,828","1,267,956",          2.32,"1,473,943","1,468,885",          1.00,"2,942,452","1,270,669",          2.32,"1,473,639","1,468,813",          1.00,"2,941,705","1,273,377",          2.31,"1,473,245","1,468,460",          1.00,"2,936,461","1,272,361",          2.31,"1,470,750","1,465,711",          1.00,"2,936,214","1,275,194",          2.30,"1,470,490","1,465,724",          1.00,"2,936,382","1,277,842",          2.30,"1,470,528","1,465,854",          1.00,"2,936,367","1,280,291",          2.29,"1,470,544","1,465,823",          1.00,"2,937,440","1,283,524",          2.29,"1,470,985","1,466,455",          1.00,"2,938,429","1,286,458",          2.28,"1,471,347","1,467,082",          1.00,"2,941,795","1,290,829",          2.28,"1,472,963","1,468,832",          1.00,"2,945,009","1,294,158",          2.28,"1,474,536","1,470,473",          1.00,"2,946,319","1,296,517",          2.27,"1,475,245","1,471,074",          1.00,"2,948,375","1,298,647",          2.27,"1,476,373","1,472,002",          1.00,"2,949,150","1,300,292",          2.27,"1,476,663","1,472,487",          1.00,"2,950,978","1,303,227",          2.26,"1,477,432","1,473,546",          1.00,"2,952,699","1,306,725",          2.26,"1,478,272","1,474,427",          1.00,"2,953,260","1,308,777",          2.26,"1,478,514","1,474,746",          1.00,"2,955,167","1,311,588",          2.25,"1,479,428","1,475,739",          1.00,"2,957,066","1,313,975",          2.25,"1,480,432","1,476,634",          1.00,"2,960,580","1,317,046",          2.25,"1,482,177","1,478,403",          1.00,"2,963,117","1,319,683",          2.25,"1,483,370","1,479,747",          1.00,"2,960,097","1,318,437",          2.25,"1,481,896","1,478,201",          1.00,"2,962,388","1,320,238",          2.24,"1,483,026","1,479,362",          1.00,"2,964,820","1,321,231",          2.24,"1,484,103","1,480,717",          1.00,"2,967,314","1,322,632",          2.24,"1,485,175","1,482,139",          1.00
7,2900000000,광주광역시  ,"1,456,688","617,379",          2.36,"720,931","735,757",          0.98,"1,456,121","618,503",          2.35,"720,686","735,435",          0.98,"1,455,705","620,050",          2.35,"720,460","735,245",          0.98,"1,456,096","622,374",          2.34,"720,536","735,560",          0.98,"1,455,533","624,687",          2.33,"720,300","735,233",          0.98,"1,455,048","626,386",          2.32,"720,060","734,988",          0.98,"1,454,709","627,676",          2.32,"719,860","734,849",          0.98,"1,454,154","629,054",          2.31,"719,601","734,553",          0.98,"1,453,952","630,695",          2.31,"719,445","734,507",          0.98,"1,452,994","631,269",          2.30,"718,912","734,082",          0.98,"1,451,993","632,264",          2.30,"718,370","733,623",          0.98,"1,450,062","633,582",          2.29,"717,348","732,714",          0.98,"1,449,115","634,859",          2.28,"716,929","732,186",          0.98,"1,447,953","635,999",          2.28,"716,331","731,622",          0.98,"1,445,473","636,160",          2.27,"715,226","730,247",          0.98,"1,444,787","637,169",          2.27,"714,834","729,953",          0.98,"1,443,154","637,364",          2.26,"714,101","729,053",          0.98,"1,442,647","638,270",          2.26,"713,793","728,854",          0.98,"1,442,482","639,333",          2.26,"713,626","728,856",          0.98,"1,441,970","640,836",          2.25,"713,286","728,684",          0.98,"1,442,827","642,726",          2.24,"713,666","729,161",          0.98,"1,442,454","643,841",          2.24,"713,483","728,971",          0.98,"1,442,138","644,972",          2.24,"713,292","728,846",          0.98,"1,441,611","645,712",          2.23,"713,015","728,596",          0.98,"1,441,636","646,429",          2.23,"713,037","728,599",          0.98,"1,440,032","647,419",          2.22,"712,199","727,833",          0.98,"1,438,463","648,252",          2.22,"711,289","727,174",          0.98,"1,436,916","648,653",          2.22,"710,524","726,392",          0.98,"1,436,012","649,454",          2.21,"710,062","725,950",          0.98,"1,435,378","650,131",          2.21,"709,685","725,693",          0.98,"1,434,703","650,708",          2.20,"709,305","725,398",          0.98,"1,434,397","652,050",          2.20,"709,090","725,307",          0.98,"1,432,856","652,047",          2.20,"708,248","724,608",          0.98,"1,432,651","652,598",          2.20,"708,119","724,532",          0.98,"1,432,049","652,435",          2.19,"707,815","724,234",          0.98,"1,431,050","652,355",          2.19,"707,299","723,751",          0.98
8,3000000000,대전광역시  ,"1,474,152","636,203",          2.32,"736,259","737,893",          1.00,"1,473,125","637,726",          2.31,"735,791","737,334",          1.00,"1,471,858","638,921",          2.30,"735,179","736,679",          1.00,"1,471,650","640,500",          2.30,"734,902","736,748",          1.00,"1,471,915","643,220",          2.29,"734,940","736,975",          1.00,"1,471,040","644,764",          2.28,"734,441","736,599",          1.00,"1,470,225","646,211",          2.28,"734,008","736,217",          1.00,"1,469,431","647,818",          2.27,"733,547","735,884",          1.00,"1,469,099","649,552",          2.26,"733,356","735,743",          1.00,"1,467,556","650,636",          2.26,"732,552","735,004",          1.00,"1,465,893","651,488",          2.25,"731,701","734,192",          1.00,"1,463,882","652,783",          2.24,"730,699","733,183",          1.00,"1,463,291","654,078",          2.24,"730,396","732,895",          1.00,"1,462,064","655,842",          2.23,"729,663","732,401",          1.00,"1,458,463","655,196",          2.23,"728,075","730,388",          1.00,"1,457,619","656,007",          2.22,"727,522","730,097",          1.00,"1,457,161","657,087",          2.22,"727,279","729,882",          1.00,"1,456,107","657,781",          2.21,"726,666","729,441",          1.00,"1,455,300","658,831",          2.21,"726,281","729,019",          1.00,"1,454,679","659,978",          2.20,"725,956","728,723",          1.00,"1,455,058","661,948",          2.20,"726,142","728,916",          1.00,"1,454,228","662,615",          2.19,"725,742","728,486",          1.00,"1,453,675","663,621",          2.19,"725,406","728,269",          1.00,"1,452,251","664,417",          2.19,"724,626","727,625",          1.00,"1,451,272","664,804",          2.18,"724,026","727,246",          1.00,"1,450,862","666,643",          2.18,"723,812","727,050",          1.00,"1,450,057","667,934",          2.17,"723,361","726,696",          1.00,"1,449,360","668,599",          2.17,"723,063","726,297",          1.00,"1,448,933","669,589",          2.16,"722,840","726,093",          1.00,"1,448,401","670,279",          2.16,"722,517","725,884",          1.00,"1,448,182","671,127",          2.16,"722,366","725,816",          1.00,"1,448,240","672,491",          2.15,"722,486","725,754",          1.00,"1,446,602","672,212",          2.15,"721,604","724,998",          1.00,"1,446,863","673,098",          2.15,"721,745","725,118",          1.00,"1,446,749","673,163",          2.15,"721,609","725,140",          1.00,"1,446,072","673,429",          2.15,"721,245","724,827",          1.00
9,3100000000,울산광역시  ,"1,147,037","469,007",          2.45,"589,233","557,804",          1.06,"1,145,710","469,551",          2.44,"588,626","557,084",          1.06,"1,144,563","470,294",          2.43,"588,127","556,436",          1.06,"1,144,098","471,153",          2.43,"587,902","556,196",          1.06,"1,143,148","472,255",          2.42,"587,434","555,714",          1.06,"1,142,190","472,983",          2.41,"586,939","555,251",          1.06,"1,141,362","473,640",          2.41,"586,533","554,829",          1.06,"1,140,310","474,328",          2.40,"585,922","554,388",          1.06,"1,139,368","474,970",          2.40,"585,387","553,981",          1.06,"1,138,581","475,424",          2.39,"584,963","553,618",          1.06,"1,137,345","476,112",          2.39,"584,305","553,040",          1.06,"1,136,017","476,893",          2.38,"583,708","552,309",          1.06,"1,135,370","478,531",          2.37,"583,402","551,968",          1.06,"1,132,953","479,441",          2.36,"582,190","550,763",          1.06,"1,129,254","478,528",          2.36,"580,424","548,830",          1.06,"1,128,163","478,865",          2.36,"579,853","548,310",          1.06,"1,127,175","479,362",          2.35,"579,316","547,859",          1.06,"1,126,369","479,971",          2.35,"578,924","547,445",          1.06,"1,125,727","480,623",          2.34,"578,511","547,216",          1.06,"1,124,459","480,951",          2.34,"577,806","546,653",          1.06,"1,123,236","481,483",          2.33,"577,093","546,143",          1.06,"1,122,566","481,811",          2.33,"576,723","545,843",          1.06,"1,122,495","482,287",          2.33,"576,636","545,859",          1.06,"1,121,592","482,650",          2.32,"576,217","545,375",          1.06,"1,121,100","482,917",          2.32,"575,939","545,161",          1.06,"1,119,446","483,490",          2.32,"575,165","544,281",          1.06,"1,118,010","484,122",          2.31,"574,444","543,566",          1.06,"1,117,204","484,641",          2.31,"573,984","543,220",          1.06,"1,116,482","485,349",          2.30,"573,619","542,863",          1.06,"1,115,609","485,652",          2.30,"573,152","542,457",          1.06,"1,114,753","485,759",          2.29,"572,615","542,138",          1.06,"1,113,458","486,060",          2.29,"571,867","541,591",          1.06,"1,112,191","485,838",          2.29,"571,248","540,943",          1.06,"1,111,707","486,070",          2.29,"570,960","540,747",          1.06,"1,111,371","486,101",          2.29,"570,756","540,615",          1.06,"1,110,663","486,143",          2.28,"570,368","540,295",          1.06
