local_id,year,home,office,industry
11,2020,0.2565554092945281,0.44727066645890673,0.46433292033491796
11,2021,0.0006954711220631981,0.2812054453663164,0.3050711018385168
11,2022,-0.18349434501036366,-0.3753125124582893,-0.3588757721283728
21,2020,0.08933573569738855,0.3614575109540731,0.21931607520087013
21,2021,0.2599471308871278,0.4358108184385582,0.30528635851429603
21,2022,-0.14660092967103233,-0.23272187062881286,0.30422388785738896
22,2020,-0.14240579290570005,-0.48810220300351315,-0.02359506583190075
22,2021,0.11427113268376957,0.3492135417285796,0.3317093986270901
22,2022,-0.1981680479460354,-0.4379165776836405,-0.20679223140774655
23,2020,0.2668942080091311,0.6098536812662798,0.5003194277559999
23,2021,-0.0006161631420847711,0.40919384616138443,0.3309052492099924
23,2022,-0.19633383509848976,-0.3099968932762337,0.1758686205122358
24,2020,0.3822362828773091,0.5649922170873994,0.21362653671909237
24,2021,0.0918700497167144,0.3393782318021463,0.12014687240837332
24,2022,-0.10901076204799937,-0.33239222108805655,0.023873543870557585
25,2020,0.13373399652631623,0.6620507924739314,0.29395968975600517
25,2021,0.21152939177918814,0.4819194689644506,0.06778318946915375
25,2022,-0.11401872480685482,-0.3649596156009088,-0.16620776467341186
26,2020,0.11923631816561361,0.29405423668060954,0.24637188636967322
26,2021,0.24112462090547845,-0.11438159718333267,0.2054314552125351
26,2022,-0.0905610288604766,-0.23934217339389854,0.438369012742481
29,2020,-0.023754733558155244,0.25360109038992823,0.4347510121329382
29,2021,0.14380868738365551,0.864817019555345,0.1104088625447445
29,2022,-0.058365005301255116,0.21160604347887832,0.2557823637191084
31,2020,0.21860471540111504,0.5819783341703476,0.5178413595096503
31,2021,0.005993918574239843,0.43307504118627516,0.34279891031562437
31,2022,-0.17999538990756653,-0.3844402229546851,-0.04081728806098377
32,2020,0.3011897609073077,0.7884871092057294,-0.06440696975667042
32,2021,0.13798605607734696,0.6186297835783497,0.22995009010394774
32,2022,-0.24353575280764012,-0.4674291404736148,0.6029281189913133
33,2020,0.17843274023881767,0.622231086978382,0.29597155938806685
33,2021,0.05210681294690646,0.4241612563037724,0.10435730314214707
33,2022,-0.18853033536165967,-0.41137148628795117,0.24613187209370746
34,2020,0.24114887082204955,0.7027075971712763,0.36679985796540276
34,2021,0.10555237296153834,0.5442056870428134,0.25799501045742335
34,2022,-0.1507932213800166,-0.5423049025436658,0.16893936341527635
35,2020,0.17467230219921295,0.594736436228859,0.32484626695211827
35,2021,0.0997702350073295,0.45747826270933156,0.14390735279349787
35,2022,-0.1361317007952004,-0.3887117282956469,0.09384906584159419
36,2020,0.3585057021661297,0.6237644660538537,-0.063731563770934
36,2021,0.15607160004998782,0.4299417369511565,0.43618310339436533
36,2022,-0.13184927814742595,-0.3450826248573643,0.142661927448127
37,2020,-0.04806596977174055,-0.11166601486546257,0.1923013581285703
37,2021,0.17456706800765884,0.5161091781440166,0.1796280373695404
37,2022,-0.213903160034822,-0.4423454305005849,0.18505030150119967
38,2020,0.2256998207915191,0.4643109378461996,0.504218891100965
38,2021,0.3139944145452427,0.4901160753845545,0.43998858659683426
38,2022,-0.154254832349139,-0.3758358610624784,-0.063597506379009
39,2020,0.20078654138094906,0.27618748966377754,0.4183983360766082
39,2021,0.462002543233956,0.4618086467497569,0.2536479105317412
39,2022,-0.02136906061343185,-0.21422942929074745,-0.22261327027555575
